name,version,licenseType,sourceLink,description,tags
angular-ui-codemirror,0.3.0,MIT,https://github.com/angular-ui/ui-codemirror,This directive allows you to add CodeMirror to your textarea elements.,"ui,angular"
Angular-UI-Grid,3.1.0,MIT,https://github.com/angular-ui/ui-grid,Support Data Analyst UI,"ui,angular,grid"
angular-websocket,1.10.13,MIT,https://github.com/angular-class/angular-websocket/archive/v1.0.13.zip,The missing Angular WebSocket module for connecting client applications to servers by @Angular-Class,"ui,websocket"
Animate.css,3.5.1,MIT,https://www.npmjs.com/package/animate.css,A cross-browser library of CSS animations. As easy to use as an easy thing.,"ui,animation"
ansible,2.1.1.0,GPL v3,https://www.ansible.com/ package obtained from EPEL https://dl.fedoraproject.org/pub/epel/7/x86_64/a/ansible-2.1.1.0-1.el7.noarch.rpm,Ansible is an open source community project sponsored by Red Hat  it's the simplest way to automate IT. Ansible is the only automation language that can be used across entire IT teams from systems and network administrators to developers and managers.,"ci-cd,automation"
Anti-Grain Geometry,2.4,BSD-equivalent,http://www.antigrain.com/index.html,AGG as of a rendering engine that produces pixel images in memory from some vectorial data.Anti-Grain Geometry is a high-quality 2D rendering library written in C++. It features anti-aliasing and sub-pixel resolution. It is not a graphics library  per se  but rather a framework to build a graphics library upon. The library is operating system independent and renders to an abstract memory object. ,"rendering,pixel"
antlrcs,4.5-alpha003,BSD,https://github.com/tunnelvisionlabs/antlr4cs/releases,Generate code EU Filing market  DPM expressions  based on the defined grammar. The original  highly-optimized C# Target for ANTLR 4.,parser
Apache-commons-modules-repackaged,4.3.3,Apache v2,http://commons.apache.org/,Apache Commons is an Apache project focused on all aspects of reusable Java components. ,"java,components"
Apache Cordova,5.2.0,Apache v2,https://archive.apache.org/dist/cordova/tools/cordova-5.2.0.tgz,Apache Cordova is an open-source mobile development framework. It allows you to use standard web technologies such as HTML5  CSS3  and JavaScript for cross-platform development  avoiding each mobile platforms' native development language.,"ui,framework"
Appsquickly TYPHOON,3.3.2,Apache v2,https://github.com/appsquickly/Typhoon,Dependency injection for iOS & OSX (Objective-C & Swift) .Powerful dependency injection for Cocoa and CocoaTouch. Lightweight  yet full-featured and super-easy to use.,ios
archaius,0.7.1,Apache v2,https://github.com/Netflix/archaius,Library for configuration management API ,"configuration,management"
archaius-core,0.6.6,Apache v2,http://mvnrepository.com/artifact/com.netflix.archaius/archaius-core/0.6.6,configuration management APIs ,"configuration,management"
as3commons lang,0.3.7,Apache v2,https://code.google.com/archive/p/as3-commons/  https://github.com/AS3Commons/as3commons-lang,ActionScript 3.0 Libraries The AS3Commons project is dedicated to one principal goal: creating and maintaining reusable ActionScript 3.0 components. This is a place for collaboration and sharing  where developers from throughout the community can work together on projects to be shared.,"animation,ui"
ASM,5.0.4,BSD,http://mvnrepository.com/artifact/org.ow2.asm/asm/5.0.4,ASM  a very small and fast Java bytecode manipulation framework,"java,framework"
asm-core,3.1,BSD-equivalent,Source URL: http://forge.ow2.org/project/download.php?group_id=23&file_id=9307,a very small and fast Java bytecode manipulation framework,"java,framework"
AspectJ,1.8.5,EPL,https://eclipse.org/aspectj/ http://www.eclipse.org/downloads/download.php?file=/tools/aspectj/aspectj-1.8.5.jar,A seamless aspect-oriented extension to the Java programming language that is easy to learn and use and compatible with any Java platforms.  It enables clean modularization of crosscutting concerns such as error checking and handling synchronization context-sensitive behavior performance optimizations monitoring and logging debugging support and multi-object protocols.,"oops,java"
AspectJweaver,1.6.11,EPL,http://www.aspectj.org ,Introduces advices to java classes,java
aspirin,0.10.03.03,Apache v2,http://pubrepo.doctusoft.com/nexus/content/repositories/thirdparty/io/milton/aspirin/0.10.03.03/,Aspirin is an embeddable send-only SMTP server for Java developers.,"smtp,java"
astyanax,3.8.0,Apache v2,https://github.com/Netflix/astyanax/archive/v3.8.0.zip,Astyanax is a high level Java client for Apache Cassandra. Apache Cassandra is a highly available column oriented database. ,"database,client"
asyncDisplayKit,1.1.1,BSD,https://github.com/facebook/AsyncDisplayKit,AsyncDisplayKit is an open source framework that allows for asynchronous loading of User Interfaces. Dev team wants to use it to fix performance issues in the calendar month view.,ui
AsyncEx,01202015  -,MIT,https://github.com/StephenCleary/AsyncEx,A helper library for async/await. Supports netstandard1.3 (including .NET 4.6  .NET Core 1.0  Xamarin.iOS 10  Xamarin.Android 7  Mono 4.6  and Universal Windows 10).,async
async http client,1.6.5,Apache v2,https://github.com/AsyncHttpClient/async-http-client/blob/master/LICENSE-2.0.txt ,Asynchronous Http and WebSocket Client library for Java,"async,http,client"
async-http-client,1.9.21,Apache v2,https://github.com/AsyncHttpClient/async-http-client,Async Http Client library purpose is to allow Java applications to easily execute HTTP requests and asynchronously process the HTTP responses. The library also supports the WebSocket Protocol. The Async HTTP Client library is simple to use.,"async,http,client"
asynchttpClient,1.9.22,Apache v2,https://github.com/AsyncHttpClient/async-http-client,Async Http Client library purpose is to allow Java applications to easily execute HTTP requests and asynchronously process the HTTP responses. ,"async,http,client,websocket"
ATLAS,3.11.38,BSD-equivalent,http://fossies.org/linux/misc/atlas3.11.38.tar.gz/,Automatically Tuned Linear Algebra Software (ATLAS) is a software library for linear algebra. It provides a mature open source implementation of BLAS APIs for C and Fortran77. ATLAS is often recommended as a way to automatically generate an optimized BLAS library.,"fortran,c"
atomicfu,0.12.5,Apache v2,http://central.maven.org/maven2/org/jetbrains/kotlinx/atomicfu-common/0.12.5/,The idiomatic way to use atomic operations in Kotlin.,kotlin
atomictools,0,MIT-equivalent,https://github.com/atomicbird/atomictools,A collection of useful Objective-C code and other items of use to iOS and Mac OS X developers. Most of this has been blogged about at Cocoa is my Girlfriend.,"c,ios"
Avaje-ebeanorm,4.6.2,Apache v2,http://mvnrepository.com/artifact/org.avaje.ebeanorm/avaje-ebeanorm/4.6.2,Maven Byte Code Enhancement Tool,tool
avaje-ebeanorm-agent,4.5.3,Apache v2,http://mvnrepository.com/artifact/org.avaje.ebeanorm/avaje-ebeanorm-agent/4.5.3,Avaje Ebeanorm Agent is for Persistence for Java & Kotlin,"orm,java,kotlin"
Axiom,1.2.18,Apache v2,http://www.apache.org/dyn/closer.lua/ws/axiom/1.2.18/axiom-1.2.18-bin.zip,An XML and SOAP object model which supports deferred parsing and on-demand building of the object tree.,soap
babel-cli,6.23.0,MIT,https://registry.npmjs.org/babel-cli/-/babel-cli-6.23.0.tgz,Babel comes with a built-in CLI which can be used to compile files from the command line.Babel is a toolchain that is mainly used to convert ECMAScript 2015+ code into a backwards compatible version of JavaScript in current and older browsers or environments,"js,compiler"
babel-core,6.6.4,MIT,https://libraries.io/npm/babel-core/6.6.4,Babel compiler core.,"js,compiler"
babel-plugin-transform-regenerator,6.22.0,MIT,https://libraries.io/npm/babel-plugin-transform-regenerator/6.22.0,The compiler for writing next generation JavaScript.,"js,compiler"
babel-preset-node6,11.0.0,MIT,https://registry.npmjs.org/babel-preset-node6/-/babel-preset-node6-11.0.0.tgz,Babel preset for Node 6.x,js
babel-runtime,6.22.0,MIT,https://libraries.io/npm/babel-runtime/6.22.0, a library that contain's Babel modular runtime helpers and a version of regenerator-runtime,js
base64url,1.0.5,MIT,https://github.com/brianloveswords/base64url, Converting to  and from  base64url,base64
base64-url,1.2.1,MIT-equivalent,https://github.com/joaquimserafim/base64-url,Base64 encode  decode  escape and unescape for URL applications.,base64
bc-java,r1rv59,MIT + OCB,https://github.com/bcgit/bc-java/tree/r1rv59,The Bouncy Castle Crypto package is a Java implementation of cryptographic algorithms  it was developed by the Legion of the Bouncy Castle  a registered Australian Charity  with a little help The Legion  and the latest goings on with this package  can be found.,"crypto,java"
Berkeley DB Java Edition,5.0.73,Sleepycat,http://central.maven.org/maven2/com/sleepycat/je/5.0.73/je-5.0.73.jar,Berkeley DB Java Edition is a open source  transactional storage solution for Java applications. The Direct Persistence Layer (DPL) API is faster and easier to develop  deploy  and manage than serialized object files or ORM-based Java persistence solutions. The Collections API enhances the standard java.util.collections classes allowing them to be persisted to a local file system and accessed concurrently while protected by ACID transactions. Data is stored by serializing objects and managing class and instance data separately so as not to waste space. Berkeley DB Java Edition is the reliable drop-in solution for complex  fast  and scalable storage. ,"database,orm"
Blazeds,4.7,various,http://www.us.apache.org/dist/flex/BlazeDS/4.7.0/ ,BlazeDS is a server-based Java remoting and web messaging technology that allows users to connect to back-end distributed data and push data to Adobe Flex and Adobe AIR Rich Internet applications.,"messaging,jms"
BlockUI,0.2,MIT,https://github.com/McNull/angular-block-ui,This library performs a blocking function  for angular rest calls allowing the user to know something is going on in the background.,"ui,ajax"
bluebird,2.10.2,MIT,https://github.com/petkaantonov/bluebird,Bluebird is a fully featured promise library with focus on innovative features and performance,"ui,promise"
bluebird,3.1.4,MIT,https://github.com/petkaantonov/bluebird,Bluebird is a full featured promise library with unmatched performance. http://bluebirdjs.com ,"ui,promise"
Blurbehind,1.1,MIT, Burbehind (https://github.com/faradaj/BlurBehind),Easily have blurred and transparent background effect on your Android views.,"ui,android"
bolt,1198580,MIT,https://github.com/boltdb/bolt/archive/119858097e94ac1089c404206de6f2eef3b22a9b.tar.gz,Bolt is a pure Go key/value store inspired by Howard Chu's and the LMDB project. The goal of the project is to provide a simple  fast  and reliable database for projects that don't require a full database server such as Postgres or MySQL ,"nosql,storage,database"
bolt,ee4a088,MIT,Download location: https://github.com/boltdb/bolt/archive/ee4a0888a9abe7eefe5a0992ca4cb06864839873.tar.gz,An embedded key/value database for Go.,"nosql,storage,database"
Boost,1.59,Boost,http://www.boost.org/users/history/version_1_59_0.html,Boost is a set of libraries for the C programming language that provide support for tasks and structures such as linear algebra  pseudorandom number generation  multithreading  image processing  regular expressions  and unit testing. It contains over eighty individual libraries. ,"c++,library"
Bootstrap,3.3.5,MIT,https://github.com/twbs/bootstrap/tree/v3.3.5/docs,The most popular HTML  CSS  and JavaScript framework for developing responsive ,"ui,js"
Bootstrap-colorpicker,2.3.3,Apache v2,https://github.com/itsjavi/bootstrap-colorpicker/tree/2.3.3,Bootstrap Colorpicker is a modular color picker plugin for Bootstrap,ui
boot-tools-deps,0.1.2,EPL,Home: https://www.npmjs.com/package/deps/v/0.1.2,The primary use case for boot-tools-deps is that your project runs with clj -- so all of its dependencies are managed via deps.edn files  with aliases as appropriate -- and you want to bring Boot tooling to that project  in addition,"clojure,dependency,build"
Bouncy Castle,1.5,MIT,https://www.bouncycastle.org/download/bcpkix-jdk15on-150.zip,Home of open source libraries of the Legion of the Bouncy Castle and their Java cryptography and C# cryptography resources.,"crypto,java,c#"
Box Java SDK,1.1.0,Apache v2,On Github: https://github.com/box/box-java-sdk/releases,Provides interaction with Box Content API,"box,java"
Box Python SDK,1.1.7,Apache v2,http://opensource.box.com,Develop services and applications on the Box platform.,"box,python"
Box Windows SDK,v2,Apache v2,https://github.com/box/box-windows-sdk-v2,Windows SDK for v2 of the Box API. The SDK is built upon the Portable Class Library and targets the following frameworks: .NET for Windows Store apps  .NET Framework 4.0.3  Silverlight 4 and higher  Windows Phone 7.5 and higher. ,"box,windows"
broker-hdsm (Python),0.0.12,Apache v2,https://github.ibm.com/fd4b-agrotech/serv-broker-scheduler,This implements a Scheduler for Broker jobs that run in the Agrotech platform. Each job is packaged as a Docker image and scheduled in the hosting Kubernetes cluster.,"python,broker"
btm,2.1.4,LGPL v3,http://grepcode.com/snapshot/repo1.maven.org/maven2/org.codehaus.btm/btm/2.1.4,The Bitronix Transaction Manager (BTM) is a simple but complete implementation of the JTA 1.1 API. It is a fully working XA transaction manager that provides all services required by the JTA API while trying to keep the code as simple as possible for easier understanding of the XA semantics.,"jta,transaction,java"
ButterKnife,6.1,Apache v2,https://github.com/JakeWharton/butterknife,Field and method binding for Android views which uses annotation processing to generate boilerplate code for you. ,"ui,android"
byobu,5.73,GPL v3,http://byobu.co/ package obtained from EPEL https://dl.fedoraproject.org/pub/epel/7/x86_64/b/byobu-5.73-4.el7.noarch.rpm,Byobu is an enhancement for the GNU Screen terminal multiplexer or tmux used with the Linux computer operating system that can be used to provide on-screen notification or status  and tabbed multi-window management. It is intended to improve terminal sessions when users connect to remote servers.,"notification,screen,linux"
c3p0,0.9.5.1,LGPL v2.1,http://sourceforge.net/projects/c3p0/files/c3p0-bin/,C3P0 uses worker threads to handle creating new DB connections. But in C3P0 0.9.1.2  those same worker threads also handle returning connections back to the connection pool. What I suspect is happening is that when the entire pool is in use  we start creating new connections  but creating connections takes some time. So the worker threads all get busy establishing new connections...and then even when connections are being returned to the pool  those connections are sitting in a queue waiting for the new connections to get established.,"connection-pool,database"
cache api,1,various,https://oss.sonatype.org/index.html#nexus-search;quick~javax-cache ,This package contains the API for JCache. JCache describes the technique whereby Java developers use a CachingProvider to temporarily cache Java objects. It provides a common way for Java programs to create  access  update and remove entries from caches.,"java,cache"
cache-ri-common,0.5,Apache v2,https://github.com/jsr107/RI ,JSR107 Cache RI Common,"java,cache"
Camel,2.14.2,Apache v2,http://www.apache.org/dyn/closer.cgi/camel/apache-camel/2.14.2/apache-camel-2.14.2-src.zip,Camel empowers you to define routing and mediation rules in a variety of domain-specific languages  including a Java-based Fluent API  Spring or Blueprint XML Configuration files  and a Scala DSL. This means you get smart completion of routing rules in your IDE  whether in a Java  Scala or XML editor.,"transport,messaging"
carrot2-guava,18,BSD,https://oss.sonatype.org/content/repositories/releases/org/carrot2/shaded/carrot2-guava/18.0/carrot2-guava-18.0-sources.jar,Text Clustering Algorithms and Applications - carrot2/carrot2.Used for Solr's clustering extension,"text,clustering"
CDEvents,1.2.2,MIT,https://github.com/rastersize/CDEvents,Objective-C wrapper for Mac OS X's FSEvents C API with support for blocks. Furthermore  all the classes are immutable and it should be thread-safe. ,"ios,events"
CGLib-nodep,3,Apache v2,http://mvnrepository.com/artifact/cglib/cglib-nodep/3.0,cglib - Byte Code Generation Library is high level API to generate and transform Java byte code. It is used by AOP  testing  data access frameworks to generate dynamic proxy objects and intercept field access.,"byte,code,java"
chardet,0.5.0,MIT,website address - https://github.com/runk/node-chardet/,Chardet is a character detection module for NodeJS written in pure Javascript. Module is based on ICU project http://site.icu-project.org/  which uses character occurency analysis to determine the most probable encoding.,"nodejs,encoding"
CheckTreePanel,1,LGPL v3,http://checktree.extjs.eu/   ,* CheckTreePanel has been designed to fully load nodes in one shot using,"ui,js"
chef-handler-zookeeper,0.1.2,Apache v2, https://rubygems.org/gems/chef-handler-zookeeper/versions/0.1.2,Chef report handler to send notifications to Zookeeper about Chef runs. ,"ci-cd,bigdata,notification"
chroniton,1.1.0,MIT-equivalent,https://github.com/xaranke/chroniton,A time slider input for time-based visualizations and data. ,"ui,chronology"
circbuf,bbbad09,MIT,https://github.com/armon/circbuf/archive/bbbad097214e2918d8543d5201d12bfd7bca254d.tar.gz,Golang circular (ring) buffer,"go,buffer"
CKEditor,4.4.5,MPL v2.0,https://github.com/ckeditor/ckeditor-dev/tree/4.4.5,Modern JavaScript rich text editor with a modular architecture. Its clean UI and features provide the perfect WYSIWYG UX __ for creating semantic content.,"editor,js,html"
CKREY MQTT Client Framework,0.2.6,EPL,https://github.com/ckrey/MQTT-Client-Framework,MQTT-Client-Framework is a native Objective-C iOS library. It uses CFNetwork for networking and CoreData for persistence. It is a complete implementation of MQTT 3.1.1 and supports TLS. MQTT is a lightweight messaging protocol for small sensors and mobile devices  optimized for high-latency or unreliable networks.,"messaging,framework,ios"
classifier4j,0.6,Apache v2,http://classifier4j.sourceforge.net/,Classifier4J is a Java library designed to do text classification. It comes with an implementation of a Bayesian classifier  and now has some other features  including a text summary facility. ,"text,classification"
clikt,1.7.0,Apache v2,https://ajalt.github.io/clikt/    ,Clikt pronounced  clicked  is a Kotlin library that makes writing command line interfaces simple and intuitive. It is the  Command Line Interface for Kotlin .  It is designed to make the process of writing command line tools effortless while supporting a wide variety of use cases and allowing advanced customization when needed.,"cli,kotlin"
cli (mitchellh/cli),8102d0e,MPL v2.0,https://github.com/mitchellh/cli/archive/8102d0ed5ea2709ade1243798785888175f6e415.tar.gz,A Go library for implementing command-line interfaces ,"go,cli"
cloudant-client,2.2.0,Apache v2,https://repo.maven.apache.org/maven2/com/cloudant/cloudant-client/2.2.0/,Official Cloudant Client for Java,"java,cloudant"
co,4.5.4,MIT,https://github.com/tj/co,Generator based control flow goodness for nodejs and the browser  using promises  letting you write non-blocking code in a nice-ish way. ,"ui,nodejs"
co-body,2.0.0,MIT,https://github.com/cojs/co-body,Parse request bodies with co ,"parse,request,nodejs"
cocoaasyncsocket,No version,MIT,https://web.archive.org/web/20100323061257/http://code.google.com/p/cocoaasyncsocket,AsyncSocket is an asynchronous socket networking library for Cocoa.,"web-socket,cocoa,async"
CocoaLumberjack,2.0.0,BSD,https://github.com/CocoaLumberjack/CocoaLumberjack,CocoaLumberjack is a fast & simple  yet powerful & flexible logging framework for Mac and iOS. ,"logging,ios"
codemirror,4.12,MIT,http://codemirror.net,A versatile plain text editor implemented in JavaScript for the browser.  It is specialized for editing code and comes with a number of language modes and addons that implement more advanced editing functionality.,editor
cola.js,3.1.0,MIT,http://marvl.infotech.monash.edu/webcola/,cola.js (A.K.A. WebCoLa is an open-source JavaScript library for arranging your HTML5 documents and diagrams using constraint-based optimization techniques.,"ui,js"
collectd,5.5.0-1,GPL v2,https://collectd.org/download.shtml,collectd is a daemon which collects system performance statistics periodically and provides mechanisms to store the values in a variety of ways,"daemon,metrics,system"
Colorama (python),0.3.2,BSD,https://pypi.python.org/pypi/colorama/,Cross-platform colored terminal text ,"python,terminal"
columnize (ryanuber/columnize),983d3a5,MIT,https://github.com/ryanuber/columnize/archive/983d3a5fab1bf04d1b412465d2d9f8430e2e917e.tar.gz,Easy column formatted output for golang,"go,formatter"
Commons-CLI,1.3.1,Apache v2,http://commons.apache.org/proper/commons-cli/,The Apache Commons CLI library provides an API for parsing command line options passed to programs. It's also able to print help messages detailing the options available for a command line tool. ,"cli,library"
Commons-Codec,1.1,Apache v2,http://commons.apache.org/proper/commons-codec/download_codec.cgi ,provides implementations of common encoders and decoders such as Base64  Hex  Phonetic and URLs,"encode,decode"
Commons-Collections,3.2.2,Apache v2,http://www.eu.apache.org/dist//commons/collections/binaries/commons-collections-3.2.2-bin.zip,The Java Collections Framework was a major addition in JDK 1.2. It added many powerful data structures that accelerate development of most significant Java applications. Since that time it has become the recognised standard for collection handling in Java.,"java,data-structure"
Commons-CSV,1.2,Apache v2,https://commons.apache.org/proper/commons-csv/,We need to use the commons-csv package to process/parse CSV files as part of the DataWorks Lift capabilities,"csv,parser"
Commons-Email,1.4,Apache v2,http://commons.apache.org/proper/commons-email/,Commons Email aims to provide a API for sending email. It is built on top of the Java Mail API  which it aims to simplify.,email
commons-pool2,2.5.0,Apache v2,https://github.com/apache/commons-pool,The Apache Commons Object Pooling Library.The Apache Commons Pool open source software library provides an object-pooling API and a number of object pool implementations. Version 2 of Apache Commons Pool contains a completely re-written pooling implementation compared to the 1.x series. In addition to performance and scalability improvements  version 2 includes robust instance tracking and pool monitoring.,"object,pooling,java"
Concurrent,0.112,Public Domain,https://repo1.maven.org/maven2/com/facebook/presto/. This is a dependenc of Presto ,This is a dependency of Presto 0.111. This package provides standardized  efficient versions of utility classes commonly encountered in concurrent Java programming. This code consists of implementations of ideas that have been around for ages  and is merely intended to save you the trouble of coding them. Discussions of the rationale and applications of several of these classes can be found in the second edition of Concurrent Programming in Java.. ,"java,concurrent"
conda,4.1.6,BSD,https://github.com/conda/conda/releases?after=4.2.1,Conda is a cross-platform  language-agnostic binary package manager. It is the package manager used by Anacondainstallations  but it may be used for other systems as well. Conda makes environments first-class citizens  making it easy to create independent environments even for C libraries. Conda is written entirely in Python  and is BSD licensed open source.,"binary,package-manager"
Connect-ensure-login,0.1.1,MIT,https://github.com/jaredhanson/connect-ensure-login,This middleware ensures that a user is logged in. If a request is received that is unauthenticated  the request will be redirected to a login page. The URL will be saved in the session  so the user can be conveniently returned to the page that was originally requested. ,"nodejs,authentication"
connect (node),3.3.2,MIT,https://github.com/senchalabs/connect/releases/tag/3.3.2,Connect is a middleware layer for Node.js.Connect is an extensible HTTP server framework for node using plugins known as middleware.,"nodejs,middleware"
consolidate.js,0.13.1,MIT,https://github.com/tj/consolidate.js,Template engine consolidation library for node.js ,"nodejs,template"
Consul,0.5.2,MPL v2.0,https://github.com/hashicorp/consul/archive/v0.5.2.tar.gz,Consul is a distributed  highly available  and data center aware solution to connect and configure applications across dynamic  distributed infrastructure.Consul is a tool for service discovery  monitoring and configuration. ,"nosql,storage,database,service,discovery,consul"
